institution_en,institution_cn,admin_level,url,page_found_on,notes,live_status,live_tested,live_notes
Shenyang,沈阳市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Cangzhou,沧州市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Hechi,河池市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Heyuan,河源市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Quanzhou,泉州市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Tai'an,泰安市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Taizhou,泰州市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Luzhou,泸州市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Luoyang,洛阳市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Jinan,济南市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Jining,济宁市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Haidong,海东市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Haibei Tibetan Autonomous Prefecture,海北藏族自治州,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Hainan Tibetan Autonomous Prefecture,海南藏族自治州,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Haikou,海口市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Haixi Mongol and Tibetan Autonomous Prefecture,海西蒙古族藏族自治州,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Zibo,淄博市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Huaibei,淮北市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Huainan,淮南市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Huai'an,淮安市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Shenzhen,深圳市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Qingyuan,清远市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Wenzhou,温州市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Weinan,渭南市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Huzhou,湖州市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Xiangtan,湘潭市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Xiangxi Tujia and Miao Autonomous Prefecture,湘西土家族苗族自治州,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Zhanjiang,湛江市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Chuzhou,滁州市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Binzhou,滨州市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Luohe,漯河市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Zhangzhou,漳州市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Weifang,潍坊市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Chaozhou,潮州市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Puyang,濮阳市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Yantai,烟台市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Jiaozuo,焦作市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Mudanjiang,牡丹江市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Yulin,玉林市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Yushu Tibetan Autonomous County,玉树藏族自治县,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Yushu Tibetan Autonomous Prefecture,玉树藏族自治州,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Yuxi,玉溪市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Zhuhai,珠海市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Gannan Tibetan Autonomous Prefecture,甘南藏族自治州,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Garzê Tibetan Autonomous Prefecture,甘孜藏族自治州,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Baicheng,白城市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Baishan,白山市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Baiyin,白银市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Baise,百色市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Yiyang,益阳市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Yancheng,盐城市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Panjin,盘锦市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Meishan,眉山市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Shizuishan,石嘴山市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Shijiazhuang,石家庄市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Fuzhou,福州市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Qinhuangdao,秦皇岛市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Honghe Hani and Yi Autonomous Prefecture,红河哈尼族彝族自治州,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Shaoxing,绍兴市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Suihua,绥化市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Mianyang,绵阳市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Liaocheng,聊城市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Zhaoqing,肇庆市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Zigong,自贡市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Zhoushan,舟山市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Wuhu,芜湖市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Suzhou,苏州市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Maoming,茂名市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Jingzhou,荆州市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Jingmen,荆门市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Putian,莆田市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Laiwu,莱芜市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Heze,菏泽市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Pingxiang,萍乡市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Yingkou,营口市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Huludao,葫芦岛市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Bengbu,蚌埠市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Hengshui,衡水市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Hengyang,衡阳市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Quzhou,衢州市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Xiangyang,襄阳市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Xishuangbanna Dai Autonomous Prefecture,西双版纳傣族自治州,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Xining,西宁市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Xi'an,西安市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Xuchang,许昌市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Guigang,贵港市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Guiyang,贵阳市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Hezhou,贺州市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Ziyang,资阳市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Ganzhou,赣州市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Liaoyuan,辽源市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Liaoyang,辽阳市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Dazhou,达州市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Yuncheng,运城市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Lianyungang,连云港市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Diqing Tibetan Autonomous Prefecture,迪庆藏族自治州,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Tonghua,通化市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Suining,遂宁市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Zunyi,遵义市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Xingtai,邢台市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Nagqu,那曲地区,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Handan,邯郸市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Shaoyang,邵阳市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Zhengzhou,郑州市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Chenzhou,郴州市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Ezhou,鄂州市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Jiuquan,酒泉市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Jinhua,金华市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Jinchang,金昌市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Qinzhou,钦州市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Tieling,铁岭市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Tongren,铜仁市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Tongchuan,铜川市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Tongling,铜陵市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Yinchuan,银川市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Xilin Gol League,锡林郭勒盟,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Jinzhou,锦州市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Zhenjiang,镇江市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
Changchun,长春市,municipal/prefecture,,reconnectchina.org frontend issuer filter (cities list in item-url/search JS); Level: Prefecture-level units,listed as searchable issuer / scrape target; D3.7 ~100 localities queried daily; specific portal URL not published on public pages,no-seed-url,,
